March 2021 (int),Oct 2019,June 208,Aug 2018,Aug 2019,May 2019 (US),May 2019 (Int)
40,40,40,40,40,40,40
39,39,39,39,39,,36
38,37,39,38,37,,35
37,36,37,37,36,37,34
36,35,,36,35,37,33
35,34,35,35,34,,32
35,33,,35,33,,31
34,32,,34,32,,30
34,31,,33,31,,29
33,31,,33,31,,
,,,32,30,,28
,29,,,,,27
,29,,,,,
,28,,,,,26
,,,,,,
,27,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,23,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
0,0,1,1,0,0,0
