Raw Score,Oct 2018,Apr 2019,Mar 2019,Mar 2018,Apr 2017,Jan 2017,Oct 2016,Oct 2017,Apr 2018,May 2018,Apr 2016,May 2016,May 2017,March 2020 (US)
44,40,40,40,40,40,40,40,40,40,40,40,40,40,40
43,38,38,39,39,39,39,39,39,39,39,39,40,39,39
42,36,36,38,37,38,38,37,38,38,39,39,39,39,38
41,34,34,37,36,36,37,36,37,37,37,38,38,38,37
40,33,33,35,35,35,36,36,36,36,36,36,37,37,36
39,32,32,35,34,35,35,35,35,35,35,36,36,36,35
38,31,31,34,34,34,34,34,35,34,35,35,35,35,34
37,31,31,33,33,33,33,34,34,34,34,34,34,34,33
36,30,30,32,33,33,33,33,33,33,33,34,34,34,33
35,29,29,32,32,32,32,32,33,33,33,33,33,33,32
34,29,29,31,31,31,31,32,32,32,32,32,32,33,31
33,28,28,30,31,31,31,31,31,32,31,31,32,32,31
32,27,28,29,30,30,30,31,31,31,31,31,31,31,30
31,27,27,29,30,30,29,30,30,30,30,30,30,31,29
30,26,26,28,29,29,29,29,29,30,29,30,30,30,29
29,25,26,28,29,29,28,29,29,29,29,29,29,30,28
28,25,25,27,28,28,27,28,28,28,28,28,28,29,28
27,24,24,26,28,27,27,27,27,28,28,28,28,29,27
26,24,24,26,27,27,26,26,27,27,27,27,27,28,26
25,23,23,25,27,26,25,26,26,27,27,27,26,27,26
24,23,23,24,26,26,25,25,26,26,26,26,25,27,25
23,22,22,24,26,25,24,25,25,25,25,25,25,26,24
22,21,22,23,25,25,24,24,24,25,25,25,24,25,24
21,21,21,23,24,24,23,23,24,24,24,24,23,25,23
20,20,21,22,24,23,22,22,23,23,24,23,23,24,23
19,20,20,22,23,23,22,22,22,23,23,23,22,23,22
18,19,20,21,23,22,21,21,22,22,23,22,21,22,21
17,19,19,21,22,22,21,20,21,21,22,21,20,22,21
16,18,19,20,21,21,20,19,21,21,21,20,20,21,20
15,18,18,19,21,20,19,19,20,20,21,20,19,20,20
14,18,18,19,20,20,19,18,19,20,20,19,18,19,19
13,17,17,18,19,19,18,18,19,19,20,18,18,18,18
12,17,17,18,19,18,17,17,18,18,19,18,17,18,18
11,16,16,17,18,18,17,16,17,17,18,17,16,17,17
10,16,16,16,17,17,16,15,16,17,17,16,16,16,16
9,15,15,16,16,16,15,15,16,16,17,16,15,16,16
8,14,15,15,16,15,14,14,15,16,16,15,14,15,15
7,14,14,14,15,14,14,13,14,15,15,14,13,14,14
6,13,13,13,14,13,13,12,13,14,14,13,13,13,13
5,12,12,12,13,13,12,12,12,13,13,12,12,12,13
4,11,11,12,12,12,11,11,12,12,12,11,11,11,12
3,11,11,11,11,11,10,10,11,11,11,11,10,11,11
2,10,10,10,10,10,10,10,10,10,10,10,10,10,10
1,10,10,10,10,10,10,10,10,10,10,10,10,10,10
0,10,10,10,10,10,10,10,10,10,10,10,10,10,10
100,0,0,0,0,0,0,0,0,1,1,1,1,1,0
