Raw Score,Scaled Score
58,800.0
57,770.0
56,750.0
55,730.0
54,710.0
53,700.0
52,680.0
51,670.0
50,670.0
49,670.0
48,660.0
47,650.0
46,640.0
45,630.0
44,630.0
43,620.0
42,610.0
41,600.0
40,600.0
39,590.0
38,580.0
37,580.0
36,570.0
35,560.0
34,550.0
33,550.0
32,540.0
31,530.0
30,530.0
29,520.0
28,510.0
27,510.0
26,500.0
25,490.0
24,480.0
23,470.0
22,460.0
21,450.0
20,440.0
19,420.0
18,410.0
17,400.0
16,390.0
15,380.0
14,370.0
13,360.0
12,350.0
11,340.0
10,320.0
9,310.0
8,300.0
7,280.0
6,270.0
5,250.0
4,240.0
3,230.0
2,210.0
1,200.0
0,200.0
